date,store_id,product_id,product_name,category,units_sold,promotion
2026-01-01,STORE_1,P001,Milk,Dairy,22,0
2026-01-01,STORE_1,P002,Bread,Bakery,21,0
2026-01-01,STORE_1,P003,Soft Drink,Beverages,42,1
2026-01-01,STORE_2,P001,Milk,Dairy,24,0
2026-01-01,STORE_2,P002,Bread,Bakery,15,0
2026-01-01,STORE_2,P003,Soft Drink,Beverages,37,0
2026-01-02,STORE_1,P001,Milk,Dairy,28,0
2026-01-02,STORE_1,P002,Bread,Bakery,15,0
2026-01-02,STORE_1,P003,Soft Drink,Beverages,32,0
2026-01-02,STORE_2,P001,Milk,Dairy,25,0
2026-01-02,STORE_2,P002,Bread,Bakery,16,0
2026-01-02,STORE_2,P003,Soft Drink,Beverages,35,0
2026-01-03,STORE_1,P001,Milk,Dairy,29,0
2026-01-03,STORE_1,P002,Bread,Bakery,23,0
2026-01-03,STORE_1,P003,Soft Drink,Beverages,43,0
2026-01-03,STORE_2,P001,Milk,Dairy,29,0
2026-01-03,STORE_2,P002,Bread,Bakery,19,0
2026-01-03,STORE_2,P003,Soft Drink,Beverages,45,0
2026-01-04,STORE_1,P001,Milk,Dairy,27,0
2026-01-04,STORE_1,P002,Bread,Bakery,24,0
2026-01-04,STORE_1,P003,Soft Drink,Beverages,44,0
2026-01-04,STORE_2,P001,Milk,Dairy,31,0
2026-01-04,STORE_2,P002,Bread,Bakery,22,0
2026-01-04,STORE_2,P003,Soft Drink,Beverages,43,0
2026-01-05,STORE_1,P001,Milk,Dairy,25,0
2026-01-05,STORE_1,P002,Bread,Bakery,20,0
2026-01-05,STORE_1,P003,Soft Drink,Beverages,34,0
2026-01-05,STORE_2,P001,Milk,Dairy,23,0
2026-01-05,STORE_2,P002,Bread,Bakery,22,0
2026-01-05,STORE_2,P003,Soft Drink,Beverages,38,0
2026-01-06,STORE_1,P001,Milk,Dairy,24,0
2026-01-06,STORE_1,P002,Bread,Bakery,20,0
2026-01-06,STORE_1,P003,Soft Drink,Beverages,37,0
2026-01-06,STORE_2,P001,Milk,Dairy,31,1
2026-01-06,STORE_2,P002,Bread,Bakery,17,0
2026-01-06,STORE_2,P003,Soft Drink,Beverages,32,0
2026-01-07,STORE_1,P001,Milk,Dairy,34,1
2026-01-07,STORE_1,P002,Bread,Bakery,20,0
2026-01-07,STORE_1,P003,Soft Drink,Beverages,35,0
2026-01-07,STORE_2,P001,Milk,Dairy,24,0
2026-01-07,STORE_2,P002,Bread,Bakery,16,0
2026-01-07,STORE_2,P003,Soft Drink,Beverages,44,1
2026-01-08,STORE_1,P001,Milk,Dairy,26,0
2026-01-08,STORE_1,P002,Bread,Bakery,18,0
2026-01-08,STORE_1,P003,Soft Drink,Beverages,36,0
2026-01-08,STORE_2,P001,Milk,Dairy,25,0
2026-01-08,STORE_2,P002,Bread,Bakery,18,0
2026-01-08,STORE_2,P003,Soft Drink,Beverages,31,0
2026-01-09,STORE_1,P001,Milk,Dairy,22,0
2026-01-09,STORE_1,P002,Bread,Bakery,15,0
2026-01-09,STORE_1,P003,Soft Drink,Beverages,39,0
2026-01-09,STORE_2,P001,Milk,Dairy,27,0
2026-01-09,STORE_2,P002,Bread,Bakery,17,0
2026-01-09,STORE_2,P003,Soft Drink,Beverages,44,1
2026-01-10,STORE_1,P001,Milk,Dairy,25,0
2026-01-10,STORE_1,P002,Bread,Bakery,22,0
2026-01-10,STORE_1,P003,Soft Drink,Beverages,38,0
2026-01-10,STORE_2,P001,Milk,Dairy,28,0
2026-01-10,STORE_2,P002,Bread,Bakery,22,0
2026-01-10,STORE_2,P003,Soft Drink,Beverages,41,0
2026-01-11,STORE_1,P001,Milk,Dairy,40,1
2026-01-11,STORE_1,P002,Bread,Bakery,32,1
2026-01-11,STORE_1,P003,Soft Drink,Beverages,43,0
2026-01-11,STORE_2,P001,Milk,Dairy,26,0
2026-01-11,STORE_2,P002,Bread,Bakery,19,0
2026-01-11,STORE_2,P003,Soft Drink,Beverages,38,0
2026-01-12,STORE_1,P001,Milk,Dairy,24,0
2026-01-12,STORE_1,P002,Bread,Bakery,15,0
2026-01-12,STORE_1,P003,Soft Drink,Beverages,38,0
2026-01-12,STORE_2,P001,Milk,Dairy,34,0
2026-01-12,STORE_2,P002,Bread,Bakery,15,0
2026-01-12,STORE_2,P003,Soft Drink,Beverages,36,0
2026-01-13,STORE_1,P001,Milk,Dairy,24,0
2026-01-13,STORE_1,P002,Bread,Bakery,18,0
2026-01-13,STORE_1,P003,Soft Drink,Beverages,35,0
2026-01-13,STORE_2,P001,Milk,Dairy,22,0
2026-01-13,STORE_2,P002,Bread,Bakery,17,0
2026-01-13,STORE_2,P003,Soft Drink,Beverages,36,0
2026-01-14,STORE_1,P001,Milk,Dairy,25,0
2026-01-14,STORE_1,P002,Bread,Bakery,17,0
2026-01-14,STORE_1,P003,Soft Drink,Beverages,32,0
2026-01-14,STORE_2,P001,Milk,Dairy,31,0
2026-01-14,STORE_2,P002,Bread,Bakery,21,0
2026-01-14,STORE_2,P003,Soft Drink,Beverages,38,0
2026-01-15,STORE_1,P001,Milk,Dairy,25,0
2026-01-15,STORE_1,P002,Bread,Bakery,16,0
2026-01-15,STORE_1,P003,Soft Drink,Beverages,34,0
2026-01-15,STORE_2,P001,Milk,Dairy,21,0
2026-01-15,STORE_2,P002,Bread,Bakery,23,0
2026-01-15,STORE_2,P003,Soft Drink,Beverages,35,0
2026-01-16,STORE_1,P001,Milk,Dairy,29,0
2026-01-16,STORE_1,P002,Bread,Bakery,17,0
2026-01-16,STORE_1,P003,Soft Drink,Beverages,36,0
2026-01-16,STORE_2,P001,Milk,Dairy,26,0
2026-01-16,STORE_2,P002,Bread,Bakery,14,0
2026-01-16,STORE_2,P003,Soft Drink,Beverages,40,0
2026-01-17,STORE_1,P001,Milk,Dairy,29,0
2026-01-17,STORE_1,P002,Bread,Bakery,18,0
2026-01-17,STORE_1,P003,Soft Drink,Beverages,44,0
2026-01-17,STORE_2,P001,Milk,Dairy,30,0
2026-01-17,STORE_2,P002,Bread,Bakery,23,0
2026-01-17,STORE_2,P003,Soft Drink,Beverages,42,0
2026-01-18,STORE_1,P001,Milk,Dairy,24,0
2026-01-18,STORE_1,P002,Bread,Bakery,19,0
2026-01-18,STORE_1,P003,Soft Drink,Beverages,39,0
2026-01-18,STORE_2,P001,Milk,Dairy,33,0
2026-01-18,STORE_2,P002,Bread,Bakery,22,0
2026-01-18,STORE_2,P003,Soft Drink,Beverages,43,0
2026-01-19,STORE_1,P001,Milk,Dairy,24,0
2026-01-19,STORE_1,P002,Bread,Bakery,20,0
2026-01-19,STORE_1,P003,Soft Drink,Beverages,35,0
2026-01-19,STORE_2,P001,Milk,Dairy,24,0
2026-01-19,STORE_2,P002,Bread,Bakery,19,0
2026-01-19,STORE_2,P003,Soft Drink,Beverages,35,0
2026-01-20,STORE_1,P001,Milk,Dairy,33,0
2026-01-20,STORE_1,P002,Bread,Bakery,15,0
2026-01-20,STORE_1,P003,Soft Drink,Beverages,31,0
2026-01-20,STORE_2,P001,Milk,Dairy,26,0
2026-01-20,STORE_2,P002,Bread,Bakery,16,0
2026-01-20,STORE_2,P003,Soft Drink,Beverages,29,0
2026-01-21,STORE_1,P001,Milk,Dairy,22,0
2026-01-21,STORE_1,P002,Bread,Bakery,25,0
2026-01-21,STORE_1,P003,Soft Drink,Beverages,32,0
2026-01-21,STORE_2,P001,Milk,Dairy,20,0
2026-01-21,STORE_2,P002,Bread,Bakery,24,0
2026-01-21,STORE_2,P003,Soft Drink,Beverages,32,0
2026-01-22,STORE_1,P001,Milk,Dairy,34,0
2026-01-22,STORE_1,P002,Bread,Bakery,22,1
2026-01-22,STORE_1,P003,Soft Drink,Beverages,40,0
2026-01-22,STORE_2,P001,Milk,Dairy,24,0
2026-01-22,STORE_2,P002,Bread,Bakery,19,0
2026-01-22,STORE_2,P003,Soft Drink,Beverages,35,0
2026-01-23,STORE_1,P001,Milk,Dairy,24,0
2026-01-23,STORE_1,P002,Bread,Bakery,24,1
2026-01-23,STORE_1,P003,Soft Drink,Beverages,47,1
2026-01-23,STORE_2,P001,Milk,Dairy,25,0
2026-01-23,STORE_2,P002,Bread,Bakery,18,0
2026-01-23,STORE_2,P003,Soft Drink,Beverages,33,0
2026-01-24,STORE_1,P001,Milk,Dairy,39,1
2026-01-24,STORE_1,P002,Bread,Bakery,26,0
2026-01-24,STORE_1,P003,Soft Drink,Beverages,40,0
2026-01-24,STORE_2,P001,Milk,Dairy,31,0
2026-01-24,STORE_2,P002,Bread,Bakery,25,0
2026-01-24,STORE_2,P003,Soft Drink,Beverages,56,1
2026-01-25,STORE_1,P001,Milk,Dairy,42,1
2026-01-25,STORE_1,P002,Bread,Bakery,18,0
2026-01-25,STORE_1,P003,Soft Drink,Beverages,43,0
2026-01-25,STORE_2,P001,Milk,Dairy,29,0
2026-01-25,STORE_2,P002,Bread,Bakery,21,0
2026-01-25,STORE_2,P003,Soft Drink,Beverages,46,0
2026-01-26,STORE_1,P001,Milk,Dairy,24,0
2026-01-26,STORE_1,P002,Bread,Bakery,19,0
2026-01-26,STORE_1,P003,Soft Drink,Beverages,30,0
2026-01-26,STORE_2,P001,Milk,Dairy,30,0
2026-01-26,STORE_2,P002,Bread,Bakery,21,0
2026-01-26,STORE_2,P003,Soft Drink,Beverages,35,0
2026-01-27,STORE_1,P001,Milk,Dairy,24,0
2026-01-27,STORE_1,P002,Bread,Bakery,20,0
2026-01-27,STORE_1,P003,Soft Drink,Beverages,39,0
2026-01-27,STORE_2,P001,Milk,Dairy,30,0
