store_nbr,family_name,current_stock,on_order,backorders
1,AUTOMOTIVE,,,
1,BABY CARE,,,
1,BEAUTY,,,
1,BEVERAGES,,,
1,BOOKS,,,
1,BREAD/BAKERY,,,
1,CELEBRATION,,,
1,CLEANING,,,
1,DAIRY,,,
1,DELI,,,
1,EGGS,,,
1,FROZEN FOODS,,,
1,GROCERY I,,,
1,GROCERY II,,,
1,HARDWARE,,,
1,HOME AND KITCHEN I,,,
1,HOME AND KITCHEN II,,,
1,HOME APPLIANCES,,,
1,HOME CARE,,,
1,LADIESWEAR,,,
1,LAWN AND GARDEN,,,
1,LINGERIE,,,
1,"LIQUOR,WINE,BEER",,,
1,MAGAZINES,,,
1,MEATS,,,
1,PERSONAL CARE,,,
1,PET SUPPLIES,,,
1,PLAYERS AND ELECTRONICS,,,
1,POULTRY,,,
1,PREPARED FOODS,,,
1,PRODUCE,,,
1,SCHOOL AND OFFICE SUPPLIES,,,
1,SEAFOOD,,,
2,AUTOMOTIVE,,,
2,BABY CARE,,,
2,BEAUTY,,,
2,BEVERAGES,,,
2,BOOKS,,,
2,BREAD/BAKERY,,,
2,CELEBRATION,,,
2,CLEANING,,,
2,DAIRY,,,
2,DELI,,,
2,EGGS,,,
2,FROZEN FOODS,,,
2,GROCERY I,,,
2,GROCERY II,,,
2,HARDWARE,,,
2,HOME AND KITCHEN I,,,
2,HOME AND KITCHEN II,,,
2,HOME APPLIANCES,,,
2,HOME CARE,,,
2,LADIESWEAR,,,
2,LAWN AND GARDEN,,,
2,LINGERIE,,,
2,"LIQUOR,WINE,BEER",,,
2,MAGAZINES,,,
2,MEATS,,,
2,PERSONAL CARE,,,
2,PET SUPPLIES,,,
2,PLAYERS AND ELECTRONICS,,,
2,POULTRY,,,
2,PREPARED FOODS,,,
2,PRODUCE,,,
2,SCHOOL AND OFFICE SUPPLIES,,,
2,SEAFOOD,,,
3,AUTOMOTIVE,,,
3,BABY CARE,,,
3,BEAUTY,,,
3,BEVERAGES,,,
3,BOOKS,,,
3,BREAD/BAKERY,,,
3,CELEBRATION,,,
3,CLEANING,,,
3,DAIRY,,,
3,DELI,,,
3,EGGS,,,
3,FROZEN FOODS,,,
3,GROCERY I,,,
3,GROCERY II,,,
3,HARDWARE,,,
3,HOME AND KITCHEN I,,,
3,HOME AND KITCHEN II,,,
3,HOME APPLIANCES,,,
3,HOME CARE,,,
3,LADIESWEAR,,,
3,LAWN AND GARDEN,,,
3,LINGERIE,,,
3,"LIQUOR,WINE,BEER",,,
3,MAGAZINES,,,
3,MEATS,,,
3,PERSONAL CARE,,,
3,PET SUPPLIES,,,
3,PLAYERS AND ELECTRONICS,,,
3,POULTRY,,,
3,PREPARED FOODS,,,
3,PRODUCE,,,
3,SCHOOL AND OFFICE SUPPLIES,,,
3,SEAFOOD,,,
4,AUTOMOTIVE,,,
4,BABY CARE,,,
4,BEAUTY,,,
4,BEVERAGES,,,
4,BOOKS,,,
4,BREAD/BAKERY,,,
4,CELEBRATION,,,
4,CLEANING,,,
4,DAIRY,,,
4,DELI,,,
4,EGGS,,,
4,FROZEN FOODS,,,
4,GROCERY I,,,
4,GROCERY II,,,
4,HARDWARE,,,
4,HOME AND KITCHEN I,,,
4,HOME AND KITCHEN II,,,
4,HOME APPLIANCES,,,
4,HOME CARE,,,
4,LADIESWEAR,,,
4,LAWN AND GARDEN,,,
4,LINGERIE,,,
4,"LIQUOR,WINE,BEER",,,
4,MAGAZINES,,,
4,MEATS,,,
4,PERSONAL CARE,,,
4,PET SUPPLIES,,,
4,PLAYERS AND ELECTRONICS,,,
4,POULTRY,,,
4,PREPARED FOODS,,,
4,PRODUCE,,,
4,SCHOOL AND OFFICE SUPPLIES,,,
4,SEAFOOD,,,
5,AUTOMOTIVE,,,
5,BABY CARE,,,
5,BEAUTY,,,
5,BEVERAGES,,,
5,BOOKS,,,
5,BREAD/BAKERY,,,
5,CELEBRATION,,,
5,CLEANING,,,
5,DAIRY,,,
5,DELI,,,
