forecast_date,store_nbr,family_name,onpromotion,is_closed_day,is_holiday,is_event,is_work_day
2017-08-16,1,AUTOMOTIVE,0,0,0,0,0
2017-08-16,1,BABY CARE,0,0,0,0,0
2017-08-16,1,BEAUTY,2,0,0,0,0
2017-08-16,1,BEVERAGES,20,0,0,0,0
2017-08-16,1,BOOKS,0,0,0,0,0
2017-08-16,1,BREAD/BAKERY,12,0,0,0,0
2017-08-16,1,CELEBRATION,0,0,0,0,0
2017-08-16,1,CLEANING,25,0,0,0,0
2017-08-16,1,DAIRY,45,0,0,0,0
2017-08-16,1,DELI,18,0,0,0,0
2017-08-16,1,EGGS,1,0,0,0,0
2017-08-16,1,FROZEN FOODS,1,0,0,0,0
2017-08-16,1,GROCERY I,64,0,0,0,0
2017-08-16,1,GROCERY II,0,0,0,0,0
2017-08-16,1,HARDWARE,0,0,0,0,0
2017-08-16,1,HOME AND KITCHEN I,2,0,0,0,0
2017-08-16,1,HOME AND KITCHEN II,6,0,0,0,0
2017-08-16,1,HOME APPLIANCES,0,0,0,0,0
2017-08-16,1,HOME CARE,10,0,0,0,0
2017-08-16,1,LADIESWEAR,0,0,0,0,0
2017-08-16,1,LAWN AND GARDEN,16,0,0,0,0
2017-08-16,1,LINGERIE,5,0,0,0,0
2017-08-16,1,"LIQUOR,WINE,BEER",9,0,0,0,0
2017-08-16,1,MAGAZINES,0,0,0,0,0
2017-08-16,1,MEATS,0,0,0,0,0
2017-08-16,1,PERSONAL CARE,18,0,0,0,0
2017-08-16,1,PET SUPPLIES,0,0,0,0,0
2017-08-16,1,PLAYERS AND ELECTRONICS,0,0,0,0,0
2017-08-16,1,POULTRY,0,0,0,0,0
2017-08-16,1,PREPARED FOODS,0,0,0,0,0
2017-08-16,1,PRODUCE,256,0,0,0,0
2017-08-16,1,SCHOOL AND OFFICE SUPPLIES,14,0,0,0,0
2017-08-16,1,SEAFOOD,0,0,0,0,0
2017-08-16,2,AUTOMOTIVE,0,0,0,0,0
2017-08-16,2,BABY CARE,0,0,0,0,0
2017-08-16,2,BEAUTY,2,0,0,0,0
2017-08-16,2,BEVERAGES,23,0,0,0,0
2017-08-16,2,BOOKS,0,0,0,0,0
2017-08-16,2,BREAD/BAKERY,12,0,0,0,0
2017-08-16,2,CELEBRATION,0,0,0,0,0
2017-08-16,2,CLEANING,22,0,0,0,0
2017-08-16,2,DAIRY,41,0,0,0,0
