store_id,product_id,product_name,category,actual_7d,predicted_7d,block_start,block_end,forecast_error,underforecast_error
BRANCH_A,SKU101,Basmati Rice,Grocery,190,192.58,2026-06-02,2026-06-08,-2.58,0.0
BRANCH_A,SKU102,Cooking Oil,Grocery,133,132.01,2026-06-02,2026-06-08,0.99,0.99
BRANCH_A,SKU103,Laundry Soap,Household,119,102.53,2026-06-02,2026-06-08,16.47,16.47
BRANCH_B,SKU101,Basmati Rice,Grocery,168,141.69,2026-06-02,2026-06-08,26.31,26.31
BRANCH_B,SKU102,Cooking Oil,Grocery,131,128.3,2026-06-02,2026-06-08,2.7,2.7
BRANCH_B,SKU103,Laundry Soap,Household,100,104.17,2026-06-02,2026-06-08,-4.17,0.0
BRANCH_A,SKU101,Basmati Rice,Grocery,180,178.73,2026-06-09,2026-06-15,1.27,1.27
BRANCH_A,SKU102,Cooking Oil,Grocery,133,125.31,2026-06-09,2026-06-15,7.69,7.69
BRANCH_A,SKU103,Laundry Soap,Household,117,106.59,2026-06-09,2026-06-15,10.41,10.41
BRANCH_B,SKU101,Basmati Rice,Grocery,168,164.11,2026-06-09,2026-06-15,3.89,3.89
BRANCH_B,SKU102,Cooking Oil,Grocery,127,130.69,2026-06-09,2026-06-15,-3.69,0.0
BRANCH_B,SKU103,Laundry Soap,Household,87,97.51,2026-06-09,2026-06-15,-10.51,0.0
BRANCH_A,SKU101,Basmati Rice,Grocery,166,163.62,2026-06-16,2026-06-22,2.38,2.38
BRANCH_A,SKU102,Cooking Oil,Grocery,133,131.24,2026-06-16,2026-06-22,1.76,1.76
BRANCH_A,SKU103,Laundry Soap,Household,107,106.44,2026-06-16,2026-06-22,0.56,0.56
BRANCH_B,SKU101,Basmati Rice,Grocery,150,163.57,2026-06-16,2026-06-22,-13.57,0.0
BRANCH_B,SKU102,Cooking Oil,Grocery,116,119.87,2026-06-16,2026-06-22,-3.87,0.0
BRANCH_B,SKU103,Laundry Soap,Household,92,91.97,2026-06-16,2026-06-22,0.03,0.03
BRANCH_A,SKU101,Basmati Rice,Grocery,162,161.95,2026-06-23,2026-06-29,0.05,0.05
BRANCH_A,SKU102,Cooking Oil,Grocery,133,129.81,2026-06-23,2026-06-29,3.19,3.19
BRANCH_A,SKU103,Laundry Soap,Household,97,104.64,2026-06-23,2026-06-29,-7.64,0.0
BRANCH_B,SKU101,Basmati Rice,Grocery,162,149.5,2026-06-23,2026-06-29,12.5,12.5
BRANCH_B,SKU102,Cooking Oil,Grocery,119,117.28,2026-06-23,2026-06-29,1.72,1.72
BRANCH_B,SKU103,Laundry Soap,Household,80,93.01,2026-06-23,2026-06-29,-13.01,0.0
